Startup Name,Founder,Industry,Funding Stage
Notion,Ivan Zhao,Productivity Software,Series D
Figma,Dylan Field,Design Software,Acquired
Canva,Melanie Perkins,Design Software,Series F
Vercel,Guillermo Rauch,Developer Tools,Series D
MongoDB,Dwight Merriman,Database,Public
Databricks,Ali Ghodsi,Data Analytics,Series I
Plaid,Zach Perret,Financial Technology,Series D
Airtable,Howie Liu,Productivity Software,Series F
GitLab,Sid Sijbrandij,Developer Tools,Public
Snowflake,Benoit Dageville,Data Warehousing,Public
Rippling,Parker Conrad,HR Technology,Series D
Scale AI,Alexandr Wang,Artificial Intelligence,Series E
Miro,Andrey Khusid,Collaboration Software,Series C
Postman,Abhinav Asthana,Developer Tools,Series D
Retool,David Hsu,Low Code Platform,Series C
