Company Name,Industry,Location,Founded Year
Tesla,Automotive,Austin TX,2003
Microsoft,Technology,Redmond WA,1975
Nike,Apparel & Footwear,Beaverton OR,1964
Spotify,Technology,Stockholm Sweden,2006
Airbnb,Travel & Hospitality,San Francisco CA,2008
Netflix,Entertainment,Los Gatos CA,1997
SpaceX,Aerospace,Hawthorne CA,2002
Uber,Transportation,San Francisco CA,2009
DoorDash,Food Delivery,San Francisco CA,2013
Shopify,E-commerce,Ottawa Canada,2006
Meta,Technology,Menlo Park CA,2004
Zoom,Technology,San Jose CA,2011
Stripe,Financial Technology,San Francisco CA,2010
Slack,Technology,San Francisco CA,2009
Adobe,Technology,San Jose CA,1982
